location,price,bedrooms,bathrooms,floors,lands,realestate_category,type,link,sangkat,khan,city/provice,lat,lon
"Sangkat Bei, Sihanoukville, Sihanoukville",800000,24,24,,263,Apartment,buy,https://www.realestate.com.kh/buy/sangkat-bei/24-bed-24-bath-apartment-229816/,Sangkat Bei,Sihanoukville,Sihanoukville,10.50614075,103.26205644863938
"Preaek Luong, Khsach Kandal, Kandal",53000,3,3,,83,House,buy,https://www.realestate.com.kh/buy/preaek-luong/3-bed-3-bath-house-229663/,Preaek Luong,Khsach Kandal,Kandal,11.7503523,105.0169623
"Kaoh Rung, Sihanoukville, Sihanoukville",150000,2,,,,Villa,buy,https://www.realestate.com.kh/buy/kaoh-rung/2-bed-villa-229626/,Kaoh Rung,Sihanoukville,Sihanoukville,10.50614075,103.26205644863938
"Svay Dankum, Siem Reap, Siem Reap",190000,6,8,,,House,buy,https://www.realestate.com.kh/buy/svay-dankum/6-bed-8-bath-house-229617/,Svay Dankum,Siem Reap,Siem Reap,13.3617562,103.8590321
Urban Village Phase 2,66000,,1,26,,Condo,buy,https://www.realestate.com.kh/new-developments/urban-village-phase-2/1-bath-condo-229540/,,,,,
"Samrong Tong, Samraong Tong, Kampong Speu",41000,2,2,72,,House,buy,https://www.realestate.com.kh/buy/samrong-tong/2-bed-2-bath-house-229528/,Samrong Tong,Samraong Tong,Kampong Speu,11.45044745,104.60617304001704
"Svay Dankum, Siem Reap, Siem Reap",545000,4,5,,,Villa,buy,https://www.realestate.com.kh/buy/svay-dankum/4-bed-5-bath-villa-223462/,Svay Dankum,Siem Reap,Siem Reap,13.3617562,103.8590321
"Sala Kamraeuk, Siem Reap, Siem Reap",320000,3,4,,,House,buy,https://www.realestate.com.kh/buy/sala-kamraeuk/3-bed-4-bath-house-229454/,Sala Kamraeuk,Siem Reap,Siem Reap,13.3617562,103.8590321
"Tonle Bassac, Chamkarmon, Phnom Penh",1239000,,,,,Condo,buy,https://www.realestate.com.kh/buy/tonle-bassac/condo-229427/,Tonle Bassac,Chamkarmon,Phnom Penh,11.5477265,104.9407431
"Tonle Bassac, Chamkarmon, Phnom Penh",885000,,,,,Condo,buy,https://www.realestate.com.kh/buy/tonle-bassac/condo-229391/,Tonle Bassac,Chamkarmon,Phnom Penh,11.5477265,104.9407431
"Tonle Bassac, Chamkarmon, Phnom Penh",323900,,,,,Condo,buy,https://www.realestate.com.kh/buy/tonle-bassac/condo-229383/,Tonle Bassac,Chamkarmon,Phnom Penh,11.5477265,104.9407431
"Boeng Keng Kang 3, Chamkarmon, Phnom Penh",2200000,6,6,,475,Villa,buy,https://www.realestate.com.kh/buy/bkk-3/6-bed-6-bath-villa-229225/,Boeng Keng Kang 3,Chamkarmon,Phnom Penh,11.5477265,104.9407431
"Svay Dankum, Siem Reap, Siem Reap",500,,,,,Land,buy,https://www.realestate.com.kh/buy/svay-dankum/land-229211/,Svay Dankum,Siem Reap,Siem Reap,13.3617562,103.8590321
"Chak Angrae Leu, Meanchey, Phnom Penh",125000,2,1,70,,Condo,buy,https://www.realestate.com.kh/buy/chak-angrae-leu/2-bed-1-bath-condo-229189/,Chak Angrae Leu,Meanchey,Phnom Penh,13.104489,103.1978242
"Preaek Lieb, Chroy Changvar, Phnom Penh",500000,6,5,,90,Shophouse,buy,https://www.realestate.com.kh/buy/preaek-lieb/6-bed-5-bath-shophouse-229182/,Preaek Lieb,Chroy Changvar,Phnom Penh,11.5823106,104.9344762
"Boeung Kak 2, Toul Kork, Phnom Penh",210000,4,4,,,Condo,buy,https://www.realestate.com.kh/buy/boeung-kak-2/4-bed-4-bath-condo-229119/,Boeung Kak 2,Toul Kork,Phnom Penh,11.5738692,104.8996872
"Phsar Thmei III, Daun Penh, Phnom Penh",1300000,10,9,,,Shophouse,buy,https://www.realestate.com.kh/buy/phsar-thmei-iii/10-bed-9-bath-shophouse-229068/,Phsar Thmei III,Daun Penh,Phnom Penh,11.5772693,104.9194273
"Phsar Thmei III, Daun Penh, Phnom Penh",1500000,4,4,,,Shophouse,buy,https://www.realestate.com.kh/buy/phsar-thmei-iii/4-bed-4-bath-shophouse-229067/,Phsar Thmei III,Daun Penh,Phnom Penh,11.5772693,104.9194273
"Phsar Thmei III, Daun Penh, Phnom Penh",210000,2,2,,,Shophouse,buy,https://www.realestate.com.kh/buy/phsar-thmei-iii/2-bed-2-bath-shophouse-229065/,Phsar Thmei III,Daun Penh,Phnom Penh,11.5772693,104.9194273
"Phsar Thmei III, Daun Penh, Phnom Penh",700000,6,7,,,Shophouse,buy,https://www.realestate.com.kh/buy/phsar-thmei-iii/6-bed-7-bath-shophouse-229063/,Phsar Thmei III,Daun Penh,Phnom Penh,11.5772693,104.9194273
"Kandaek, Prasat Bakong, Siem Reap",64999,2,2,,,House,buy,https://www.realestate.com.kh/buy/kandaek/2-bed-2-bath-house-228970/,Kandaek,Prasat Bakong,Siem Reap,13.3421471,103.9978446
Embassy Central,360000,2,2,104,,Condo,buy,https://www.realestate.com.kh/new-developments/embassy-central/2-bed-2-bath-condo-228921/,,,,,
"Chroy Changvar, Chroy Changvar, Phnom Penh",115500,1,1,64,,Apartment,buy,https://www.realestate.com.kh/buy/chroy-changvar/1-bed-1-bath-apartment-228908/,Chroy Changvar,Chroy Changvar,Phnom Penh,11.5823106,104.9344762
