,location,price,bedrooms,bathrooms,floors,lands,realestate_category,type,link
1718,"Akreiy Ksatr, Lvea Aem, Kandal",$555permonth,,,,,Condo,rent,https://www.realestate.com.kh/rent/akreiy-ksatr/condo-206367/
1719,Luxcity Hotel & Apartment,"$1,350permonth",1,1.0,50,,Serviced,rent,https://www.realestate.com.kh/new-developments/luxcity-hotel-apartment/1-bed-1-bath-serviced-apartment-206342/
1720,Luxcity Hotel & Apartment,"$1,500permonth",1,1.0,68,,Serviced,rent,https://www.realestate.com.kh/new-developments/luxcity-hotel-apartment/1-bed-1-bath-serviced-apartment-206341/
1721," Svay Dankum, Siem Reap, Siem Reap","$1,200permonth",3,3.0,,,House,rent,https://www.realestate.com.kh/rent/svay-dankum/3-bed-3-bath-house-206335/
1722,"Veal Vong, 7 Makara, Phnom Penh",$500permonth,,,,,Condo,rent,https://www.realestate.com.kh/buy/veal-vong/condo-206086/
1723,"Sala Kamraeuk, Siem Reap, Siem Reap",$300permonth,3,4.0,,,House,rent,https://www.realestate.com.kh/rent/sala-kamraeuk/3-bed-4-bath-house-205972/
1724,"Svay Dankum, Siem Reap, Siem Reap",$400permonth,2,1.0,,,House,rent,https://www.realestate.com.kh/rent/svay-dankum/2-bed-1-bath-house-205640/
1725,"Svay Dankum, Siem Reap, Siem Reap",$550permonth,4,3.0,,,House,rent,https://www.realestate.com.kh/rent/svay-dankum/4-bed-3-bath-house-205639/
1726," Siem Reap, Siem Reap, Siem Reap",$650permonth,3,3.0,,,House,rent,https://www.realestate.com.kh/rent/siem-reap/3-bed-3-bath-house-205630/
1727,"Chroy Changvar, Chroy Changvar, Phnom Penh",$700permonth,2,2.0,,,Condo,rent,https://www.realestate.com.kh/rent/chroy-changvar/2-bed-2-bath-condo-205556/
1728,"Siem Reap, Siem Reap",$450permonth,,,,,Apartment,rent,https://www.realestate.com.kh/rent/siem-reap/apartment-205308/
1729,"Toul Kork, Phnom Penh",$330permonth,,,,,Apartment,rent,https://www.realestate.com.kh/rent/toul-kork/apartment-205307/
1730,"DABEST Properties, Sala Kamraeuk, Siem Reap, Siem Reap",$500permonth,2,3.0,,300.0,Villa,rent,https://www.realestate.com.kh/rent/sala-kamraeuk/dabest-properties-153681/
1731,"Tonle Bassac, Chamkarmon, Phnom Penh","$1,100permonth",2,2.0,,,Condo,rent,https://www.realestate.com.kh/rent/tonle-bassac/2-bed-2-bath-condo-205049/
1732,"Tonle Bassac, Chamkarmon, Phnom Penh",$600permonth,1,1.0,50,,Apartment,rent,https://www.realestate.com.kh/rent/tonle-bassac/1-bed-1-bath-apartment-205048/
1733," Svay Dankum, Siem Reap, Siem Reap",$600permonth,4,5.0,,,House,rent,https://www.realestate.com.kh/rent/svay-dankum/4-bed-5-bath-house-204673/
1734,"Svay Dankum, Siem Reap, Siem Reap",$550permonth,3,4.0,,,House,rent,https://www.realestate.com.kh/rent/svay-dankum/3-bed-4-bath-house-204663/
1735,"Boeung Trabek, Chamkarmon, Phnom Penh",$400permonth,,,,,Apartment,rent,https://www.realestate.com.kh/rent/boeung-trabek/apartment-203838/
1736,"Khmuonh, Sen Sok, Phnom Penh",$999permonth,4,5.0,,,Twin,rent,https://www.realestate.com.kh/rent/khmuonh/4-bed-5-bath-twin-villa-203736/
1737,"Veal Vong, 7 Makara, Phnom Penh","$1,200permonth",2,1.0,136,,Condo,rent,https://www.realestate.com.kh/buy/veal-vong/2-bed-1-bath-condo-203246/
1738,"Veal Vong, 7 Makara, Phnom Penh",$600permonth,1,1.0,46,,Condo,rent,https://www.realestate.com.kh/buy/veal-vong/1-bed-1-bath-condo-203245/
1739,"Tuek L'ak 3, Toul Kork, Phnom Penh","$2,500permonth",3,6.0,164,,House,rent,https://www.realestate.com.kh/rent/tuek-lak-3/3-bed-6-bath-house-203155/
1740,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$4,200permonth",,,,,Apartment,rent,https://www.realestate.com.kh/rent/phnom-penh-thmey/apartment-202959/
1741,"BKK 1, Chamkarmon, Phnom Penh",$550permonth,,,,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/apartment-202306/
1742,"Prey Veaeng, Dangkao, Phnom Penh","$2,500permonth",,,,,Land,rent,https://www.realestate.com.kh/rent/prey-veaeng/land-201005/
1743," Svay Dankum, Siem Reap, Siem Reap",$700permonth,2,3.0,145,198.0,Villa,rent,https://www.realestate.com.kh/rent/svay-dankum/2-bed-3-bath-villa-200768/
1744,"Preaek Ta Sek, Chroy Changvar, Phnom Penh","$1,200permonth",3,3.0,,,House,rent,https://www.realestate.com.kh/rent/preaek-ta-sek/3-bed-3-bath-house-199812/
1745," Sala Kamraeuk, Siem Reap, Siem Reap","$1,200permonth",4,5.0,,,Villa,rent,https://www.realestate.com.kh/rent/sala-kamraeuk/4-bed-5-bath-villa-199586/
1746,Royal Park Condo,$300permonth,,,,,Condo,rent,https://www.realestate.com.kh/new-developments/royal-park-condo/condo-198226/
1747,"Tonle Bassac, Chamkarmon, Phnom Penh","$4,000permonth",6,6.0,,,Villa,rent,https://www.realestate.com.kh/rent/tonle-bassac/6-bed-6-bath-villa-197797/
1748," Tonle Bassac, Chamkarmon, Phnom Penh","$1,000permonth",2,2.0,110,,Condo,rent,https://www.realestate.com.kh/rent/tonle-bassac/2-bed-2-bath-condo-197241/
1749," Tonle Bassac, Chamkarmon, Phnom Penh",$700permonth,1,1.0,50,,Condo,rent,https://www.realestate.com.kh/rent/tonle-bassac/1-bed-1-bath-condo-197240/
