,location,price,bedrooms,bathrooms,floors,lands,realestate_category,type
1460,"BKK 1, Chamkarmon, Phnom Penh","$1,700permonth",2,2.0,76,,Apartment,rent
1461,"BKK 1, Chamkarmon, Phnom Penh",$860permonth,1,1.0,44,,Apartment,rent
1462,"BKK 1, Chamkarmon, Phnom Penh",$570permonth,,1.0,30,,Apartment,rent
1463,"BKK 1, Chamkarmon, Phnom Penh","$1,300permonth",3,2.0,122,,Apartment,rent
1464,"BKK 1, Chamkarmon, Phnom Penh",$900permonth,2,2.0,84,,Apartment,rent
1465,"BKK 1, Chamkarmon, Phnom Penh",$650permonth,1,1.0,,,Apartment,rent
1466,"BKK 1, Chamkarmon, Phnom Penh",$700permonth,,,,,Condo,rent
1467,Platinum Bay,$500permonth,1,1.0,44,,Condo,rent
1468,"Toul Tum Poung 2, Chamkarmon, Phnom Penh","$5,800permonth",,,,,Flat,rent
1469,"Toul Tum Poung 2, Chamkarmon, Phnom Penh","$1,200permonth",6,7.0,,,Flat,rent
1470,"Chakto Mukh, Daun Penh, Phnom Penh","$1,500permonth",,1.0,,,House,rent
1471,"Boeung Kak 2, Toul Kork, Phnom Penh","$6,500permonth",,,,,Land,rent
1472,"Tumnob Tuek, Chamkarmon, Phnom Penh","$1,500permonth",3,4.0,,,Shophouse,rent
1473," Toul Tum Poung 1, Chamkarmon, Phnom Penh","$1,100permonth",2,2.0,,100.0,Apartment,rent
1474,"BKK 1, Chamkarmon, Phnom Penh",$800permonth,1,1.0,55,,Apartment,rent
1475,"Boeng Reang, Daun Penh, Phnom Penh","$1,550permonth",1,1.0,,,Apartment,rent
1476,"Boeng Reang, Daun Penh, Phnom Penh","$2,650permonth",2,2.0,,,Apartment,rent
1477,"Chakto Mukh, Daun Penh, Phnom Penh","$3,050permonth",2,2.0,,,Condo,rent
