,location,price,bedrooms,bathrooms,floors,lands,realestate_category,type
687,"Chrang Chamres 2, Russey Keo, Phnom Penh","$755,000",,,169,,Villa,buy
688,"Stueng Mean chey, Meanchey, Phnom Penh","$155,000",,,56,,Shophouse,buy
689,"Boeung Tumpun, Meanchey, Phnom Penh","$850,000",,,100,,Villa,buy
690,"Tuol Sangke, Russey Keo, Phnom Penh","$270,000",,,67,,House,buy
691,"Nirouth, Chbar Ampov, Phnom Penh","$400,000",,,90,,Twin,buy
692,"Svay Dankum, Siem Reap, Siem Reap","$265,000",,,192,,House,buy
693,"Krang Thnong, Sen Sok, Phnom Penh","$245,000",,,73,,Twin,buy
694,"Ta Khmau, Kandal","$375,000",,,128,,Villa,buy
695,"Kouk Khleang, Sen Sok, Phnom Penh","$198,000",,,82,,House,buy
696,"Chaom Chau, Por Sen Chey, Phnom Penh","$49,666",,,,,House,buy
697,"Dangkao, Phnom Penh","$278,000",,,72,,Twin,buy
698,"Tuek Thla, Sen Sok, Phnom Penh","$329,000",,,66,,Villa,buy
699,"Veal Vong, 7 Makara, Phnom Penh","$300,000",,,126,,Condo,buy
700,Urban Village Phase 1,"$120,000",,,70,,Condo,buy
701,"Preaek Lieb, Chroy Changvar, Phnom Penh","$200,000",,,75,,Shophouse,buy
702,"Nirouth, Chbar Ampov, Phnom Penh","$275,000",,,50,,Shophouse,buy
703,"Chak Angrae Kraom, Meanchey, Phnom Penh","$285,000",,,54,,Shophouse,buy
704,"Preaek Aeng, Chbar Ampov, Phnom Penh","$225,000",,,72,,Twin,buy
705,"Kamboul, Por Sen Chey, Phnom Penh","$68,000",,,104,,Villa,buy
706,"Kouk Roka, Prek Pnov, Phnom Penh","$189,800",,,67,,House,buy
707,"Khmuonh, Sen Sok, Phnom Penh","$460,000",,,146,,House,buy
708,"Chak Angrae Kraom, Meanchey, Phnom Penh","$420,000",,,72,,Twin,buy
709,"Chey Chumneah, Daun Penh, Phnom Penh","$450,000",,,78,,House,buy
710,"Boeung Tumpun, Meanchey, Phnom Penh","$160,000",,,209,,Land,buy
711,"Chaom Chau, Por Sen Chey, Phnom Penh","$57,999",,,80,,House,buy
712,"Chaom Chau, Por Sen Chey, Phnom Penh","$98,000",,,66,,Shophouse,buy
713,"Sala Kamraeuk, Siem Reap, Siem Reap","$95,000",,,61,,House,buy
714,"Stueng Mean chey, Meanchey, Phnom Penh","$125,000",,,67,,Shophouse,buy
715,"Chaom Chau, Por Sen Chey, Phnom Penh","$245,000",,,72,,Twin,buy
716,"Ta Khmao, Ta Khmau, Kandal","$155,880",,,73,,House,buy
717,"Preaek Aeng, Chbar Ampov, Phnom Penh","$245,000",,,,,Villa,buy
718,"Phsar Thmei II, Daun Penh, Phnom Penh","$455,000",,,65,,Shophouse,buy
719,"Ponhea Lueu, Kandal","$48,000",,,1253,,Land,buy
720,"Ou Baek K'am, Sen Sok, Phnom Penh","$310,000",,,70,,House,buy
721,"Nirouth, Chbar Ampov, Phnom Penh","$265,000",,,72,,Twin,buy
722,"Svay Dankum, Siem Reap, Siem Reap","$95,000",,,55,,House,buy
723,"Preaek Aeng, Chbar Ampov, Phnom Penh","$225,000",,,72,,Twin,buy
724,"Phleung Chheh Roteh, Por Sen Chey, Phnom Penh","$36,000",,,210,,Land,buy
725,"Snay Anhchet, Chum Kiri, Kampot","$22,000",,,3174,,Land,buy
726,"Kilomaetr Lekh Prammuoy, Russey Keo, Phnom Penh","$265,000",,,72,,Twin,buy
727,"Dangkao, Phnom Penh","$88,000",,,64,,House,buy
728,"Krang Thnong, Sen Sok, Phnom Penh","$152,000",,,210,,Land,buy
729,"Samraong Thum, Kien Svay, Kandal","$75,000",,,,,House,buy
730,"Phleung Chheh Roteh, Por Sen Chey, Phnom Penh","$85,000",,,570,,Land,buy
731,"Prey Veaeng, Dangkao, Phnom Penh","$18,000",,,82,,Land,buy
732,"Ta Khmao, Ta Khmau, Kandal","$129,000",,,66,,House,buy
733,"Nirouth, Chbar Ampov, Phnom Penh","$235,000",,,255,,House,buy
734,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$185,000",,,49,,Villa,buy
735,"Kracheh, Kratie","$18,000",,,2,,Land,buy
736,"Chaom Chau, Por Sen Chey, Phnom Penh","$168,000",,,100,,Shophouse,buy
737,"Bakong, Prasat Bakong, Siem Reap",$98/m²,,,,,Land,buy
738,"Tonle Bassac, Chamkarmon, Phnom Penh","$3,000/m²",3,4.0,192,348.0,Villa,buy
739," Monourom, 7 Makara, Phnom Penh","$37,500",1,1.0,,,Apartment,buy
740," Chroy Changvar, Chroy Changvar, Phnom Penh","$1,419,760",4,4.0,354,,Condo,buy
741," Phnom Touch, Odongk, Kampong Speu","$120,000",,,,4797.0,Land,buy
742," BKK 1, Chamkarmon, Phnom Penh","$95,000",1,1.0,61,,Apartment,buy
743," Olympic, Chamkarmon, Phnom Penh","$47,000",1,1.0,45,,Condo,buy
744,"Khmuonh, Sen Sok, Phnom Penh","$190,000",4,5.0,76,100.0,Flat,buy
745," Chroy Changvar, Chroy Changvar, Phnom Penh","$1,150,000",5,5.0,228,450.0,Villa,buy
746,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$275,000",4,5.0,,,Link,buy
747," Prek Ho, Ta Khmau, Kandal","$1,600,000",,,,1495.0,Land,buy
748," Tonle Bassac, Chamkarmon, Phnom Penh","$80,000",1,1.0,49,49.0,Condo,buy
749," Svay Dankum, Siem Reap, Siem Reap","$352,080",,,,,Land,buy
750," Nirouth, Chbar Ampov, Phnom Penh",$850,4,5.0,120,320.0,Villa,buy
751," Sangkat Buon, Sihanoukville, Sihanoukville","$180,000",6,7.0,243,89.0,Shophouse,buy
752,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$1,600,000",5,5.0,453,560.0,Villa,buy
753," Sangkat Buon, Sihanoukville, Sihanoukville","$90,000",,,,200.0,Land,buy
754," Sangkat Bei, Sihanoukville, Sihanoukville","$88,000",1,1.0,44,,Condo,buy
755,"ផ្លូវបេតុង , Bakong, Prasat Bakong, Siem Reap","$22,000",,,,,Land,buy
756,"76 ផ្លូវជាតិ៧៦, Pir Thnu, Snuol, Kratie","$45,200",,,,,Land,buy
757," Prey Sa, Dangkao, Phnom Penh","$210,000",4,5.0,,542.0,House,buy
758,"Boeung Tumpun, Meanchey, Phnom Penh","$158,000",5,6.0,166,245.0,House,buy
759," Sangkat Bei, Sihanoukville, Sihanoukville","$61,200",1,1.0,36,,Apartment,buy
760,"Nirouth, Chbar Ampov, Phnom Penh","$210,000",4,4.0,,,House,buy
761," Sangkat Bei, Sihanoukville, Sihanoukville","$1,850/m²",10,11.0,,586.0,House,buy
762,"St 240, Boeng Reang, Daun Penh, Phnom Penh","$250,000",,2.0,,128.0,Apartment,buy
763," Tonle Bassac, Chamkarmon, Phnom Penh","$220,000",1,1.0,59,84.0,Condo,buy
764,"krang Thnong 2011, Krang Thnong, Sen Sok, Phnom Penh","$350,000",4,4.0,,240.0,Link,buy
765," Preaek Kampues, Dangkao, Phnom Penh","$64,500",4,5.0,,56.0,Flat,buy
766," Phleung Chheh Roteh, Por Sen Chey, Phnom Penh","$189,000",8,9.0,,134.0,Flat,buy
767," Sangkat Buon, Sihanoukville, Sihanoukville","$1,100/m²",,,,,Land,buy
768," Tuek Thla, Sen Sok, Phnom Penh","$185,000",2,2.0,95,,Condo,buy
769," Boeung Trabek, Chamkarmon, Phnom Penh","$800,000",4,6.0,448,420.0,Villa,buy
770," Prey Thnang, Tuek Chhou, Kampot","$315,000$157,500SAVE50.00%",4,4.0,303,720.0,Villa,buy
771," Nirouth, Chbar Ampov, Phnom Penh","$1,250,000",7,9.0,,538.0,Villa,buy
772,"Nirouth, Chbar Ampov, Phnom Penh","$1,100,000",5,6.0,300,450.0,Villa,buy
773," Cheung Aek, Dangkao, Phnom Penh","$380,000",5,6.0,270,220.0,Twin,buy
774," Boeung Tumpun, Meanchey, Phnom Penh","$1,200,000",8,9.0,459,92.0,Shophouse,buy
775," Tonle Bassac, Chamkarmon, Phnom Penh","$228,000",2,1.0,93,63.0,Condo,buy
776," Tonle Bassac, Chamkarmon, Phnom Penh","$124,500",,,,,Condo,buy
777,"Boeung Kak 2, Toul Kork, Phnom Penh","$58,000",1,1.0,24,,Condo,buy
778," BKK 3, Chamkarmon, Phnom Penh","$105,000",2,2.0,84,,Condo,buy
779," Boeung Tumpun, Meanchey, Phnom Penh","$100,000",2,2.0,90,,Condo,buy
780," Sangkat Pir, Sihanoukville, Sihanoukville",$380/m²,,,,478.0,Land,buy
781," Boeng Reang, Daun Penh, Phnom Penh","$80,000",1,1.0,47,38.0,Condo,buy
782," Chroy Changvar, Chroy Changvar, Phnom Penh","$68,000",1,1.0,84,63.0,Condo,buy
783," Tonle Bassac, Chamkarmon, Phnom Penh","$300,000",3,2.0,127,,Condo,buy
784," Ou Baek K'am, Sen Sok, Phnom Penh","$185,000",2,2.0,9523,,Condo,buy
785," Pak Khlang, Mondol Seima, Koh Kong","$2,100,000",,,,6420.0,Land,buy
786,"Nirouth, Chbar Ampov, Phnom Penh","$1,200,000",6,7.0,,,Villa,buy
787," Cheung Aek, Dangkao, Phnom Penh","$120,000",3,4.0,165,280.0,Villa,buy
788,"Nirouth, Chbar Ampov, Phnom Penh","$1,400,000",5,6.0,,,Villa,buy
789,"Preaek Kampues, Dangkao, Phnom Penh","$64,500",4,5.0,49,56.0,House,buy
790," Sangkat Muoy, Sihanoukville, Sihanoukville","$128,000",5,6.0,192,72.0,Shophouse,buy
791,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$2,020,000",6,7.0,,,Villa,buy
792,"Svay Dankum, Siem Reap, Siem Reap","$89,000",,,,,Land,buy
793,"លំ , Thmei, Tuek Chhou, Kampot","$900,000",,,,150000.0,Land,buy
794,"Chreav, Siem Reap, Siem Reap","$60,000",,,,420.0,Land,buy
795,"Sangkat Bei, Sihanoukville, Sihanoukville","$60,000",1,1.0,25,25.0,Condo,buy
796," Boeung Tumpun, Meanchey, Phnom Penh","$51,000",1,1.0,56,,Condo,buy
797," Tonle Bassac, Chamkarmon, Phnom Penh","$340,000",3,2.0,160,170.0,Condo,buy
798,"Sla Kram, Siem Reap, Siem Reap","$160,000",2,2.0,,,House,buy
799," Tonle Bassac, Chamkarmon, Phnom Penh","$338,000",3,2.0,127,,Condo,buy
800," Sangkat Buon, Sihanoukville, Sihanoukville",POA,,,,634.0,LandPOA,buy
801,"NR-3 , L'ang, Dang Tong, Kampot","$3,000,000",,,,34086.0,Land,buy
802,"7NG , Preaek Ampil, Khsach Kandal, Kandal","$35,500",2,2.0,105,105.0,Link,buy
803," Ou, Phnum Sruoch, Kampong Speu",$75/m²,,,,,Land,buy
804," Sala Kamraeuk, Siem Reap, Siem Reap","$700,000",21,21.0,,512.0,Apartment,buy
805,"7NG , Preaek Ampil, Khsach Kandal, Kandal","$35,500",2,2.0,105,105.0,Link,buy
806," Boeung Trabek, Chamkarmon, Phnom Penh","$650,000",4,4.0,300,125.0,Shophouse,buy
807," Chroy Changvar, Chroy Changvar, Phnom Penh","$58,000",1,1.0,50,,Condo,buy
808," Tonle Bassac, Chamkarmon, Phnom Penh","$340,000",3,3.0,156,156.0,Condo,buy
809,"Lum 201, Kampong Samnanh, Ta Khmau, Kandal","$300,000",5,5.0,,,House,buy
810," Chak Angrae Leu, Meanchey, Phnom Penh","$80,000",1,1.0,,,Condo,buy
811," Tonle Bassac, Chamkarmon, Phnom Penh","$250,000",2,2.0,,,Condo,buy
812," Chak Angrae Leu, Meanchey, Phnom Penh","$105,000",2,2.0,,,Condo,buy
813," Tonle Bassac, Chamkarmon, Phnom Penh","$7,960,000",3,3.0,,,Condo,buy
814," Tonle Bassac, Chamkarmon, Phnom Penh","$442,300",2,2.0,,,Condo,buy
815," Tonle Bassac, Chamkarmon, Phnom Penh","$323,900",2,2.0,,,Condo,buy
816," Tonle Bassac, Chamkarmon, Phnom Penh","$166,858",1,1.0,,,Condo,buy
817," Svay Dankum, Siem Reap, Siem Reap","$369,600",,,,1056.0,Land,buy
818," Phnom Penh Thmey, Sen Sok, Phnom Penh","$750,000",6,7.0,324,115.0,Shophouse,buy
819," Tonle Bassac, Chamkarmon, Phnom Penh","$115,000",1,1.0,,,Condo,buy
820," Prey Sa, Dangkao, Phnom Penh","$880,000",6,8.0,507,448.0,Villa,buy
821," Preaek Lieb, Chroy Changvar, Phnom Penh","$550,000",5,7.0,324,322.0,Villa,buy
822," Preaek Lieb, Chroy Changvar, Phnom Penh","$170,000",5,4.0,,110.0,House,buy
823," Chrang Chamres I, Russey Keo, Phnom Penh","$650,000",5,7.0,324,352.0,Villa,buy
824," Toul Tum Poung 1, Chamkarmon, Phnom Penh","$790,000",7,6.0,200,150.0,Flat,buy
825," Chak Angrae Leu, Meanchey, Phnom Penh","$860,000",5,7.0,324,322.0,Villa,buy
826," Preaek Lieb, Chroy Changvar, Phnom Penh","$750,000",5,7.0,488,391.0,Villa,buy
827,"Toul Svay Prey 1, Chamkarmon, Phnom Penh","$850,000",9,9.0,,,Shophouse,buy
828," Toul Tum Poung 1, Chamkarmon, Phnom Penh","$2,300,000",8,7.0,189,456.0,Villa,buy
829," Tonle Bassac, Chamkarmon, Phnom Penh","$118,000",1,1.0,52,,Condo,buy
830," Boeung Kak 1, Toul Kork, Phnom Penh","$58,000",1,1.0,38,,Apartment,buy
831,"Sangkat Muoy, Sihanoukville, Sihanoukville","$60,000",1,1.0,32,32.0,Condo,buy
832," Tonle Bassac, Chamkarmon, Phnom Penh","$55,000",1,1.0,40,,Condo,buy
833," Sangkat Bei, Sihanoukville, Sihanoukville","$110,000",1,1.0,48,,Apartment,buy
834," Tonle Bassac, Chamkarmon, Phnom Penh","$76,800",1,1.0,46,,Condo,buy
835,"Tumnob Tuek, Chamkarmon, Phnom Penh","$580,000",,,,189.0,Land,buy
836,"Boeung Trabek, Chamkarmon, Phnom Penh","$37,000",1,1.0,38,,Condo,buy
837," Chroy Changvar, Chroy Changvar, Phnom Penh","$141,900",1,1.0,35,,Condo,buy
838," Chrang Chamres 2, Russey Keo, Phnom Penh","$900,000",6,7.0,546,426.0,Villa,buy
839,"Toul Tum Poung 1, Chamkarmon, Phnom Penh","$55,000",1,1.0,46,,Condo,buy
840," Chreav, Siem Reap, Siem Reap","$270,000",3,4.0,,,House,buy
841,"BKK 1, Chamkarmon, Phnom Penh","$700,000",2,2.0,105,105.0,Shophouse,buy
842,"Toul Svay Prey 1, Chamkarmon, Phnom Penh","$1,600,000",,,,,Land,buy
843,"Nirouth, Chbar Ampov, Phnom Penh","$220,000",4,5.0,40,81.0,House,buy
844," Svay Dankum, Siem Reap, Siem Reap","$330,000",6,6.0,,,House,buy
845,"Phsar Kandal I, Daun Penh, Phnom Penh","$150,000$100,000SAVE33.33%",2,2.0,120,,Apartment,buy
846,"Kaoh Sdach, Kiri Sakor, Koh Kong","$250,000",3,4.0,252,,Villa,buy
847,"Toul Tum Poung 1, Chamkarmon, Phnom Penh","$1,260,000",,,,450.0,Land,buy
848,"BKK 1, Chamkarmon, Phnom Penh","$183,000",1,1.0,53,,Condo,buy
849,"BKK 1, Chamkarmon, Phnom Penh","$99,000",1,1.0,30,,Condo,buy
850," Krang Thnong, Sen Sok, Phnom Penh","$35,000",1,1.0,,57.0,Flat,buy
851,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$360,000",3,3.0,,151.0,Flat,buy
852,"Boeung Kak 2, Toul Kork, Phnom Penh","$300,000",5,4.0,144,75.0,Flat,buy
853," Toul Tum Poung 1, Chamkarmon, Phnom Penh","$250,000",4,5.0,256,64.0,Flat,buy
854," Phnom Penh Thmey, Sen Sok, Phnom Penh","$110,000",6,7.0,,64.0,Flat,buy
855," Toul Tum Poung 1, Chamkarmon, Phnom Penh","$280,000",7,8.0,256,64.0,Flat,buy
856,"Andoung Khmer, Kampot, Kampot","$175,000",2,3.0,,,House,buy
857,"Chroy Changvar, Chroy Changvar, Phnom Penh","$600,000",,,,350.0,House,buy
858,"Boeung Kak 1, Toul Kork, Phnom Penh","$2,200,000",9,7.0,,500.0,Villa,buy
859,"Phsar Kandal II, Daun Penh, Phnom Penh","$141,000",2,2.0,128,,Apartment,buy
860,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$220,000",3,4.0,80,312.0,Villa,buy
861,"Kakap, Por Sen Chey, Phnom Penh","$260,000",4,4.0,180,308.0,Villa,buy
862,"Chak Angrae Leu, Meanchey, Phnom Penh","$110,000$75,000SAVE31.82%",1,2.0,52,,Condo,buy
863,"BKK 2, Chamkarmon, Phnom Penh","$350,000",2,2.0,82,82.0,Land,buy
864," Preaek Lieb, Chroy Changvar, Phnom Penh","$490,000",6,8.0,,366.0,Shophouse,buy
865," Preaek Lieb, Chroy Changvar, Phnom Penh","$170,000",1,1.0,,143.0,House,buy
866," Preaek Koy, S'ang, Kandal","$74,850",,,,2994.0,Land,buy
867," Preaek Lieb, Chroy Changvar, Phnom Penh","$195,000",3,4.0,,98.0,Link,buy
868," Chrang Chamres I, Russey Keo, Phnom Penh","$6,820,000",,,,3410.0,Land,buy
869," BKK 3, Chamkarmon, Phnom Penh","$200,000",5,4.0,50,172.0,Flat,buy
870," Phnom Penh Thmey, Sen Sok, Phnom Penh","$300,000",4,5.0,,92.0,Flat,buy
871," Phnom Penh Thmey, Sen Sok, Phnom Penh","$580,000",9,3.0,,108.0,Shophouse,buy
872,"Srah Chak, Daun Penh, Phnom Penh","$1,700,000",2,3.0,,330.0,Villa,buy
873,"Tumnob Tuek, Chamkarmon, Phnom Penh","$6,600/m²",,,,180.0,Land,buy
874,"Tumnob Tuek, Chamkarmon, Phnom Penh","$3,500/m²",,,,578.0,Land,buy
875,"Preaek Aeng, Chbar Ampov, Phnom Penh","$158,000",4,5.0,,,Apartment,buy
876,"Preaek Aeng, Chbar Ampov, Phnom Penh","$78,000",2,3.0,,68.0,Apartment,buy
877,"Tonle Bassac, Chamkarmon, Phnom Penh","$12,008,000",,,,1501.0,Land,buy
878," Run Ta Aek, Banteay Srei, Siem Reap",$52/m²,,,,,Land,buy
879," Siem Reap, Siem Reap, Siem Reap","$100,000",,,,,Land,buy
880,"Toul Tum Poung 1, Chamkarmon, Phnom Penh","$2,300,000",8,7.0,,456.0,Villa,buy
881," Boeung Kak 2, Toul Kork, Phnom Penh","$65,000",1,1.0,33,,Condo,buy
882," Boeng Reang, Daun Penh, Phnom Penh","$3,060,000",8,9.0,,425.0,Villa,buy
883," Tonle Bassac, Chamkarmon, Phnom Penh","$2,200,000",1,1.0,,825.0,Villa,buy
884," Kep, Kep, Kep","$2,000,000",25,,,4000.0,Villa,buy
885," Traeuy Kaoh, Kampot, Kampot","$600,000",9,11.0,,2500.0,Villa,buy
886," Phnom Penh Thmey, Sen Sok, Phnom Penh","$115,000",1,1.0,62,,Condo,buy
887," Preaek Anhchanh, Mukh Kampul, Kandal","$59,000",2,3.0,,81.0,Flat,buy
888," Chroy Changvar, Chroy Changvar, Phnom Penh","$800,000",7,7.0,,360.0,Villa,buy
889," BKK 3, Chamkarmon, Phnom Penh","$550,000",7,7.0,,132.0,House,buy
890," Prey Sa, Dangkao, Phnom Penh","$125,000",4,5.0,,70.0,Link,buy
891,"Toul Svay Prey 2, Chamkarmon, Phnom Penh","$1,500,000",6,7.0,,,House,buy
892," Phnom Penh Thmey, Sen Sok, Phnom Penh","$60,000",2,2.0,40,,Condo,buy
893,"BKK 1, Chamkarmon, Phnom Penh","$80,000",1,1.0,30,37.0,Condo,buy
894," Chaom Chau 1, Por Sen Chey, Phnom Penh","$135,000",5,6.0,,135000.0,Flat,buy
895,"Chey Chumneah, Daun Penh, Phnom Penh","$650,000",8,7.0,,,Flat,buy
896," Chaom Chau 1, Por Sen Chey, Phnom Penh","$135,000",4,5.0,,67.0,Flat,buy
897,"Wat Phnom, Daun Penh, Phnom Penh","$200,000",2,2.0,,165.0,Flat,buy
898," Tuol Sangkae 2, Russey Keo, Phnom Penh","$650,000",1,1.0,112,,House,buy
899," Boeung Kak 1, Toul Kork, Phnom Penh","$95,000$85,000SAVE10.53%",2,1.0,54,,Condo,buy
900," Phleung Chheh Roteh, Por Sen Chey, Phnom Penh","$99,900",4,5.0,,175.0,Shophouse,buy
901," Akreiy Ksatr, Lvea Aem, Kandal","$39,500",2,2.0,,50.0,Flat,buy
902," Preaek Lieb, Chroy Changvar, Phnom Penh","$450,000",4,6.0,336,276.0,Villa,buy
903,"Boeung Kak 1, Toul Kork, Phnom Penh","$3,500/m²",,,,1320.0,Land,buy
904," Nirouth, Chbar Ampov, Phnom Penh","$175,000",4,5.0,,85.0,Link,buy
905,"Tuol Sangkae 1, Russey Keo, Phnom Penh","$538,000",5,6.0,,368.0,Villa,buy
906,"Veal Sbov, Chbar Ampov, Phnom Penh","$295,000",4,5.0,,72.0,Twin,buy
907,"Boeung Prolit, 7 Makara, Phnom Penh","$480,000",2,2.0,,90.0,Flat,buy
908," Preaek Lieb, Chroy Changvar, Phnom Penh","$330,000",4,5.0,234,178.0,Twin,buy
909," Preaek Lieb, Chroy Changvar, Phnom Penh","$690,000",5,6.0,468,420.0,Villa,buy
910," Sangkat Bei, Sihanoukville, Sihanoukville","$380,000",4,5.0,,120.0,Shophouse,buy
911,"Boeung Kak 1, Toul Kork, Phnom Penh","$3,500,000",15,15.0,,729.0,Villa,buy
912," Mittapheap, 7 Makara, Phnom Penh","$180,000",3,3.0,,,Apartment,buy
913," Olympic, Chamkarmon, Phnom Penh","$50,000",1,1.0,45,,Condo,buy
914," Boeung Kak 1, Toul Kork, Phnom Penh","$600,000",3,4.0,333,,Condo,buy
915," Preaek Lieb, Chroy Changvar, Phnom Penh","$95,000",2,2.0,71,,Condo,buy
916," Chak Angrae Kraom, Meanchey, Phnom Penh","$9,504,000",,,,3520.0,Land,buy
917," Chrang Chamres 2, Russey Keo, Phnom Penh","$750,000",,,,,Shophouse,buy
918," Sangkat Bei, Sihanoukville, Sihanoukville","$1,400,000",24,24.0,,263.0,Apartment,buy
919,"Nirouth, Chbar Ampov, Phnom Penh","$400,000",5,7.0,270,250.0,Twin,buy
920," Tonle Bassac, Chamkarmon, Phnom Penh","$303,000",3,2.0,119,,Apartment,buy
921," Sala Kamraeuk, Siem Reap, Siem Reap","$130,000",2,3.0,,,House,buy
922," Sala Kamraeuk, Siem Reap, Siem Reap","$129,000",6,4.0,,,House,buy
923," Chroy Changvar, Chroy Changvar, Phnom Penh","$190,000",3,4.0,152,,Condo,buy
924," Phnom Penh Thmey, Sen Sok, Phnom Penh","$390,000",4,5.0,,,Twin,buy
925," Svay Dankum, Siem Reap, Siem Reap","$280,000",5,4.0,,,House,buy
926,"Phsar Kandal II, Daun Penh, Phnom Penh","$250,000",5,3.0,,,Flat,buy
927," Phnom Penh Thmey, Sen Sok, Phnom Penh","$320,000",4,6.0,,157.0,Twin,buy
928,"Phsar Kandal I, Daun Penh, Phnom Penh","$1,500,000",2,2.0,,74.0,Shophouse,buy
929,"Phsar Kandal I, Daun Penh, Phnom Penh","$2,800,000",6,11.0,,126.0,House,buy
930," Phnom Penh Thmey, Sen Sok, Phnom Penh","$1,500,000",6,8.0,,438.0,Villa,buy
931," Phnom Penh Thmey, Sen Sok, Phnom Penh","$350,000",4,6.0,,157.0,Twin,buy
932," Phnom Penh Thmey, Sen Sok, Phnom Penh","$300,000",4,5.0,,157.0,Twin,buy
933,"Chroy Changvar, Chroy Changvar, Phnom Penh","$160,315",1,1.0,75,,Apartment,buy
934,"Toul Svay Prey 2, Chamkarmon, Phnom Penh","$2,200,000",6,7.0,,475.0,Villa,buy
935," Phsar Kandal I, Daun Penh, Phnom Penh","$200,000",2,2.0,70,,Apartment,buy
936," Dangkao, Dangkao, Phnom Penh","$169,000",3,5.0,227,99.0,Shophouse,buy
937,"Tonle Bassac, Chamkarmon, Phnom Penh","$550,604",3,3.0,288,,Condo,buy
938," Dangkao, Dangkao, Phnom Penh","$249,000",4,5.0,287,185.0,Twin,buy
939," Tonle Bassac, Chamkarmon, Phnom Penh","$130,000",1,1.0,53,,Condo,buy
940," Svay Dankum, Siem Reap, Siem Reap","$634,950",,,,,Land,buy
941,"Toul Svay Prey 1, Chamkarmon, Phnom Penh","$2,000,000",,4.0,,,Apartment,buy
942," Svay Dankum, Siem Reap, Siem Reap","$190,000",2,3.0,,,House,buy
943,"Phsar Thmei III, Daun Penh, Phnom Penh","$790,000",2,3.0,,107.0,Shophouse,buy
944," Svay Dankum, Siem Reap, Siem Reap","$850,000",2,3.0,,,House,buy
945," Boeung Kak 1, Toul Kork, Phnom Penh","$76,200",1,1.0,40,,Condo,buy
946," Boeung Kak 1, Toul Kork, Phnom Penh","$68,200",1,,43,,Condo,buy
947," Boeung Tumpun, Meanchey, Phnom Penh","$550,000",10,11.0,,87.0,Shophouse,buy
948,"BKK 3, Chamkarmon, Phnom Penh","$150,693",2,1.0,72,,Condo,buy
949,"Anlong Romiet, Kandal Stueng, Kandal","$69,000",4,5.0,,200.0,House,buy
950,"BKK 3, Chamkarmon, Phnom Penh","$103,730",1,1.0,57,,Condo,buy
951," Nirouth, Chbar Ampov, Phnom Penh","$255,000",4,5.0,,68.0,Shophouse,buy
952," Kampong Kraeng, Tuek Chhou, Kampot","$1,800,000",,,,6645.0,Land,buy
953," Chak Angrae Leu, Meanchey, Phnom Penh","$480,000",4,4.0,260,,Condo,buy
954,"Chakto Mukh, Daun Penh, Phnom Penh","$42,000",2,1.0,88,,Flat,buy
955,"Phsar Thmei I, Daun Penh, Phnom Penh","$850,000",6,8.0,113,,Shophouse,buy
956," Tuol Sangkae 1, Russey Keo, Phnom Penh","$82,000",1,1.0,67,,Condo,buy
957,"BKK 2, Chamkarmon, Phnom Penh","$53,000",1,1.0,35,,Condo,buy
958," Chrang Chamres 2, Russey Keo, Phnom Penh","$140,000",3,4.0,,60.0,Link,buy
959," Sala Kamraeuk, Siem Reap, Siem Reap",$450/m²,,,,,Land,buy
960," Chroy Changvar, Chroy Changvar, Phnom Penh","$8,455,200",1,1.0,,3523.0,Villa,buy
961,"Chaom Chau, Por Sen Chey, Phnom Penh","$2,900,000",7,10.0,200,844.0,Villa,buy
962,"214 , Boeng Reang, Daun Penh, Phnom Penh","$95,000",,1.0,38,,Condo,buy
963," Tonle Bassac, Chamkarmon, Phnom Penh",$450,1,1.0,,,Apartment,buy
964," Svay Dankum, Siem Reap, Siem Reap","$800,000",3,3.0,,,Land,buy
965," Tonle Bassac, Chamkarmon, Phnom Penh","$409,217",,,,,Condo,buy
966," Tonle Bassac, Chamkarmon, Phnom Penh","$150,172",,,,,Condo,buy
967," Tonle Bassac, Chamkarmon, Phnom Penh","$442,300",,,,,Condo,buy
968," Sala Kamraeuk, Siem Reap, Siem Reap","$1,160,000",,,,,Land,buy
969,"Boeung Trabek, Chamkarmon, Phnom Penh","$8,496,000",,,,708.0,Land,buy
970,"Svay Dankum, Siem Reap, Siem Reap","$612,000",,,,3060.0,Land,buy
971,"Chey Chumneah, Daun Penh, Phnom Penh","$917,000",3,2.0,,131.0,Apartment,buy
972,"Chey Chumneah, Daun Penh, Phnom Penh","$1,500,000",4,5.0,108,141.0,Shophouse,buy
973,"Chey Chumneah, Daun Penh, Phnom Penh","$800,000",4,6.0,,118.0,Shophouse,buy
974,"Chey Chumneah, Daun Penh, Phnom Penh","$650,000",,,,100.0,Shophouse,buy
975,"Chey Chumneah, Daun Penh, Phnom Penh","$580,000",3,6.0,,68.0,Flat,buy
976,"Phsar Chas, Daun Penh, Phnom Penh","$450,000",3,3.0,151,151.0,Shophouse,buy
977," BKK 1, Chamkarmon, Phnom Penh","$125,000",1,1.0,89,,Condo,buy
978," Chreav, Siem Reap, Siem Reap","$150,000",3,4.0,,,House,buy
